id,market_id,selection_id,selection_name,odds,line
,128989405,0QA128989405#1402120915_13L88808Q14Q213140,31-40,4.7,
,128989405,0QA128989405#1402120906_13L88808Q11Q210110,0-10,11.0,
,128989405,0QA128989405#1402120918_13L88808Q15Q214150,41-50,16.0,
,128989405,0QA128989405#1402120919_13L88808Q16Q215199,51+,56.0,
,128989404,0QA128989404#1402120910_13L88808Q12Q211120,11-20,2.15,
,128989404,0QA128989404#1402120905_13L88808Q11Q210110,0-10,2.85,
,128989404,0QA128989404#1402120913_13L88808Q13Q212130,21-30,4.2,
,128989404,0QA128989404#1402120916_13L88808Q14Q213140,31-40,18.0,
,128989404,0QA128989404#1402120917_13L88808Q15Q214150,41-50,71.0,
,128989404,0QA128989404#1402120920_13L88808Q16Q215199,51+,101.0,
,128918573,0QA128918573#1401667441_13L88808Q10Q20,Yes,6.5,
,128918573,0QA128918573#1401667532_13L88808Q10Q21,No,1.0909091,
,129281615,0QA129281615#1404069256_13L88808Q1-856921218Q20,Punt,2.0,
,129281615,0QA129281615#1404069259_13L88808Q12079213996Q20,Touchdown,3.15,
,129281615,0QA129281615#1404069253_13L88808Q1-1948595731Q20,Field Goal Attempt,5.5,
,129281615,0QA129281615#1404069260_13L88808Q1-86096999Q20,"Turnover, Turnover on Downs or Safety",6.5,
,129281617,0QA129281617#1404069255_13L88808Q1650559943Q20,No Offensive Score,1.60606061,
,129281617,0QA129281617#1404069258_13L88808Q1517998783Q20,Offensive Score,2.3,
,129281616,0QA129281616#1404069262_13L88808Q1-856921218Q20,Punt,1.6451613,
,129281616,0QA129281616#1404069261_13L88808Q1-1948595731Q20,Field Goal Attempt,5.0,
,129281616,0QA129281616#1404069263_13L88808Q12079213996Q20,Touchdown,5.5,
,129281616,0QA129281616#1404069264_13L88808Q1-86096999Q20,"Turnover, Turnover on Downs or Safety",6.0,
,129281614,0QA129281614#1404069254_13L88808Q1650559943Q20,No Offensive Score,1.33333334,
,129281614,0QA129281614#1404069257_13L88808Q1517998783Q20,Offensive Score,3.3,
,128393408,0QA128393408#1398013760_13L88808Q11287276071Q20,Yes,1.86956522,
,128393408,0QA128393408#1398013761_13L88808Q1-2098810608Q20,No,1.86956522,
,128393406,0QA128393406#1398013754_13L88808Q12144217015Q20,Yes,1.86956522,
,128393406,0QA128393406#1398013755_13L88808Q11704823223Q20,No,1.86956522,
,3_68316649,0OU68316649O2450_1,Over,1.86956522,24.5
,3_68316649,0OU68316649U2450_3,Under,1.90909091,24.5
,1_68316642,0ML68316642_3,LA Rams,2.5,
,1_68316642,0ML68316642_1,GB Packers,1.54054055,
,128882655,0QA128882655#1401378550_13L88808Q1-912857727Q20,Yes,1.83333334,
,128882655,0QA128882655#1401378551_13L88808Q1-215146454Q20,No,1.90909091,
,3_68316648,0OU68316648O850_1,Over,1.83333334,8.5
,3_68316648,0OU68316648U850_3,Under,1.95238096,8.5
,128918562,0QA128918562#1401667601_13L88808Q10Q221,Away Touchdown,5.5,
,128918562,0QA128918562#1401667607_13L88808Q10Q210,Away Field Goal,4.4,
,128918562,0QA128918562#1401667617_13L88808Q10Q220,Away Safety,76.0,
,128918562,0QA128918562#1401667429_13L88808Q10Q212,Home Touchdown,2.35,
,128918562,0QA128918562#1401667544_13L88808Q10Q213,Home Field Goal,3.9,
,128918562,0QA128918562#1401667567_13L88808Q10Q211,Home Safety,66.0,
,128918563,0QA128918563#1401667431_13L88808Q11Q21,Touchdown,1.66666667,
,128918563,0QA128918563#1401667542_13L88808Q12Q22,Field Goal,2.1,
